GEOID10,FID,BDNAME,BDNUM,TEXT_NBR,GEO_ID,NAME_x,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P005001,P005002,P005003,P005004,P005005,P005006,P005007,P005008,P005009,P005010,P005011,P005012,P005013,P005014,P005015,P005016,P005017
270531040001038,18,Como,37,37,1000000US270531040001038,"Block 1038, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",142,131,2,1,2,0,2,4,142,136,126,2,1,2,0,1,4,6,5,0,0,0,0,1,0
270531040001039,18,Como,37,37,1000000US270531040001039,"Block 1039, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",111,96,1,0,11,0,3,0,111,105,93,1,0,11,0,0,0,6,3,0,0,0,0,3,0
270531040003016,18,Como,37,37,1000000US270531040003016,"Block 3016, Block Group 3, Census Tract 1040, Hennepin County, Minnesota",84,77,1,0,1,0,2,3,84,82,75,1,0,1,0,2,3,2,2,0,0,0,0,0,0
270531040001033,18,Como,37,37,1000000US270531040001033,"Block 1033, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040002015,18,Como,37,37,1000000US270531040002015,"Block 2015, Block Group 2, Census Tract 1040, Hennepin County, Minnesota",77,66,8,0,1,0,0,2,77,77,66,8,0,1,0,0,2,0,0,0,0,0,0,0,0
270531040005035,18,Como,37,37,1000000US270531040005035,"Block 5035, Block Group 5, Census Tract 1040, Hennepin County, Minnesota",89,72,2,0,10,0,2,3,89,86,69,2,0,10,0,2,3,3,3,0,0,0,0,0,0
270531040003000,18,Como,37,37,1000000US270531040003000,"Block 3000, Block Group 3, Census Tract 1040, Hennepin County, Minnesota",145,125,9,0,5,0,4,2,145,135,122,7,0,5,0,0,1,10,3,2,0,0,0,4,1
270531040003020,18,Como,37,37,1000000US270531040003020,"Block 3020, Block Group 3, Census Tract 1040, Hennepin County, Minnesota",34,33,1,0,0,0,0,0,34,34,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040003008,18,Como,37,37,1000000US270531040003008,"Block 3008, Block Group 3, Census Tract 1040, Hennepin County, Minnesota",14,14,0,0,0,0,0,0,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040004004,18,Como,37,37,1000000US270531040004004,"Block 4004, Block Group 4, Census Tract 1040, Hennepin County, Minnesota",860,403,81,9,310,0,11,46,860,813,369,78,9,308,0,8,41,47,34,3,0,2,0,3,5
270531048005013,19,Cedar Riverside,38,38,1000000US270531048005013,"Block 5013, Block Group 5, Census Tract 1048, Hennepin County, Minnesota",3,0,3,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
270531048005006,19,Cedar Riverside,38,38,1000000US270531048005006,"Block 5006, Block Group 5, Census Tract 1048, Hennepin County, Minnesota",64,49,11,0,3,0,1,0,64,60,46,11,0,3,0,0,0,4,3,0,0,0,0,1,0
270531048005014,19,Cedar Riverside,38,38,1000000US270531048005014,"Block 5014, Block Group 5, Census Tract 1048, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
